geoName,Sony Headphone
Andaman and Nicobar Islands,0
Andhra Pradesh,33
Arunachal Pradesh,0
Assam,66
Bihar,44
Chandigarh,0
Chhattisgarh,44
Dadra and Nagar Haveli,0
Daman and Diu,0
Delhi,88
Goa,0
Gujarat,66
Haryana,77
Himachal Pradesh,0
Jammu and Kashmir,44
Jharkhand,61
Karnataka,100
Kerala,77
Lakshadweep,0
Madhya Pradesh,44
Maharashtra,77
Manipur,0
Meghalaya,0
Mizoram,0
Nagaland,0
Odisha,55
Puducherry,0
Punjab,66
Rajasthan,38
Sikkim,0
Tamil Nadu,100
Telangana,44
Tripura,0
Uttar Pradesh,50
Uttarakhand,100
West Bengal,88
