geoName,Sony TV
Andaman and Nicobar Islands,82
Andhra Pradesh,69
Arunachal Pradesh,52
Assam,46
Bihar,36
Chandigarh,62
Chhattisgarh,49
Dadra and Nagar Haveli,77
Daman and Diu,90
Delhi,69
Goa,59
Gujarat,72
Haryana,49
Himachal Pradesh,51
Jammu and Kashmir,44
Jharkhand,49
Karnataka,79
Kerala,36
Lakshadweep,0
Madhya Pradesh,43
Maharashtra,68
Manipur,39
Meghalaya,41
Mizoram,47
Nagaland,53
Odisha,44
Puducherry,93
Punjab,57
Rajasthan,42
Sikkim,44
Tamil Nadu,100
Telangana,88
Tripura,50
Uttar Pradesh,42
Uttarakhand,52
West Bengal,46
